text,label
what's up?,Chitchat
what are you doing?,Chitchat
hi there,Greeting
goodbye,Farewell
damn you,Toxic
greetings,Greeting
idiot!,Toxic
shut up,Toxic
হাই,Greeting
всего хорошего,Farewell
hi there,Greeting
চুপ কর,Toxic
ভালো থেকো,Farewell
hello!,Greeting
ঘুম হলো?,Chitchat
see you,Farewell
чем занимаешься?,Chitchat
howdy,Greeting
good morning,Greeting
ধুর মিয়া,Toxic
ঘুম হলো?,Chitchat
you suck,Toxic
গুডবাই,Farewell
greetings,Greeting
чем занимаешься?,Chitchat
hey!,Greeting
чёрт тебя побери,Toxic
screw you,Toxic
hello!,Greeting
shut up,Toxic
আলবিদা,Farewell
приветствую,Greeting
приветствую,Greeting
বিদায়,Farewell
привет,Greeting
তোকে সহ্য করা যায় না,Toxic
idiot!,Toxic
গুডবাই,Farewell
anything new?,Chitchat
greetings,Greeting
idiot!,Toxic
damn you,Toxic
ভালো থেকো,Farewell
ঘুম হলো?,Chitchat
отвали,Toxic
greetings,Greeting
later!,Farewell
приветствую,Greeting
যাই আমি,Farewell
hi there,Greeting
hi there,Greeting
আজকের দিন কেমন গেল?,Chitchat
привет,Greeting
как жизнь?,Chitchat
বিদায়,Farewell
что нового?,Chitchat
idiot!,Toxic
চুপ কর,Toxic
চুপ কর,Toxic
কেমন আছো,Greeting
you suck,Toxic
здорово,Greeting
придурок,Toxic
কেমন আছো,Greeting
farewell,Farewell
চুপ কর,Toxic
কেমন আছো,Greeting
নমস্কার,Greeting
всего хорошего,Farewell
ধুর মিয়া,Toxic
কেমন আছো?,Chitchat
bye,Farewell
did you sleep well?,Chitchat
যাই আমি,Farewell
আলবিদা,Farewell
কেমন আছো?,Chitchat
কেমন আছো,Greeting
выспался?,Chitchat
গুডবাই,Farewell
здорово,Greeting
তোকে সহ্য করা যায় না,Toxic
ভালো থেকো,Farewell
আলবিদা,Farewell
bye,Farewell
хай,Greeting
how are you?,Chitchat
what are you doing?,Chitchat
আজকের দিন কেমন গেল?,Chitchat
যাই আমি,Farewell
ধুর মিয়া,Toxic
হাই,Greeting
how's it going?,Chitchat
что нового?,Chitchat
নতুন কি খবর?,Chitchat
damn you,Toxic
shut up,Toxic
bye,Farewell
иди к чёрту,Toxic
you suck,Toxic
доброе утро,Greeting
bye,Farewell
здорово,Greeting
সব ভালো তো?,Chitchat
গুডবাই,Farewell
did you sleep well?,Chitchat
গুডবাই,Farewell
সুপ্রভাত,Greeting
придурок,Toxic
নমস্কার,Greeting
пока,Farewell
чао,Farewell
ঘুম হলো?,Chitchat
hi there,Greeting
чао,Farewell
чао,Farewell
всего хорошего,Farewell
тупица,Toxic
তুই একটা গাধা,Toxic
idiot!,Toxic
как жизнь?,Chitchat
чёрт тебя побери,Toxic
সব ভালো তো?,Chitchat
как дела?,Chitchat
приветствую,Greeting
কেমন আছো,Greeting
заткнись,Toxic
চুপ কর,Toxic
заткнись,Toxic
হ্যালো,Greeting
bye,Farewell
howdy,Greeting
hey!,Greeting
доброе утро,Greeting
всего хорошего,Farewell
বিদায়,Farewell
what's up?,Chitchat
you suck,Toxic
how are you?,Chitchat
আবার দেখা হবে,Farewell
до свидания,Farewell
как жизнь?,Chitchat
আসসালামু আলাইকুম,Greeting
чао,Farewell
good morning,Greeting
доброе утро,Greeting
কেমন আছো?,Chitchat
তোরে চুদে ফালামু,Toxic
সুপ্রভাত,Greeting
হ্যালো,Greeting
আবার দেখা হবে,Farewell
তোকে দেখলে মাথা খারাপ হয়,Toxic
কেমন আছো?,Chitchat
заткнись,Toxic
чем занимаешься?,Chitchat
যাই আমি,Farewell
ধুর মিয়া,Toxic
hello!,Greeting
you suck,Toxic
how's it going?,Chitchat
হাই,Greeting
доброе утро,Greeting
আলবিদা,Farewell
hey!,Greeting
screw you,Toxic
здравствуйте,Greeting
здравствуйте,Greeting
কেমন আছো?,Chitchat
good morning,Greeting
приветствую,Greeting
হাই,Greeting
তুই একটা গাধা,Toxic
see you,Farewell
увидимся,Farewell
есть новости?,Chitchat
how's it going?,Chitchat
তোরে চুদে ফালামু,Toxic
see you,Farewell
farewell,Farewell
what are you doing?,Chitchat
get lost,Toxic
чао,Farewell
тупица,Toxic
до свидания,Farewell
বিদায়,Farewell
what's up?,Chitchat
доброе утро,Greeting
সুপ্রভাত,Greeting
বিদায়,Farewell
здорово,Greeting
idiot!,Toxic
чем занимаешься?,Chitchat
иди к чёрту,Toxic
get lost,Toxic
what are you doing?,Chitchat
later!,Farewell
get lost,Toxic
bye,Farewell
তোরে চুদে ফালামু,Toxic
তুই একটা গাধা,Toxic
придурок,Toxic
howdy,Greeting
hi there,Greeting
তোকে দেখলে মাথা খারাপ হয়,Toxic
you suck,Toxic
গুডবাই,Farewell
তোরে চুদে ফালামু,Toxic
greetings,Greeting
get lost,Toxic
তুই একটা গাধা,Toxic
что нового?,Chitchat
ঘুম হলো?,Chitchat
привет,Greeting
তোরে চুদে ফালামু,Toxic
কি করছো?,Chitchat
до свидания,Farewell
সব ভালো তো?,Chitchat
как жизнь?,Chitchat
hey!,Greeting
чем занимаешься?,Chitchat
всего хорошего,Farewell
what's up?,Chitchat
আলবিদা,Farewell
বিদায়,Farewell
хай,Greeting
goodbye,Farewell
приветствую,Greeting
farewell,Farewell
shut up,Toxic
you suck,Toxic
তোকে দেখলে মাথা খারাপ হয়,Toxic
bye,Farewell
greetings,Greeting
screw you,Toxic
আসসালামু আলাইকুম,Greeting
see you,Farewell
как дела?,Chitchat
আলবিদা,Farewell
good morning,Greeting
до свидания,Farewell
тупица,Toxic
take care,Farewell
заткнись,Toxic
নমস্কার,Greeting
আজকের দিন কেমন গেল?,Chitchat
how are you?,Chitchat
hi there,Greeting
hey!,Greeting
иди к чёрту,Toxic
কি করছো?,Chitchat
সুপ্রভাত,Greeting
আজকের দিন কেমন গেল?,Chitchat
hey!,Greeting
как жизнь?,Chitchat
নমস্কার,Greeting
নতুন কি খবর?,Chitchat
how are you?,Chitchat
হ্যালো,Greeting
idiot!,Toxic
иди к чёрту,Toxic
আসসালামু আলাইকুম,Greeting
সব ভালো তো?,Chitchat
তোরে চুদে ফালামু,Toxic
হাই,Greeting
чёрт тебя побери,Toxic
ভালো থেকো,Farewell
চুপ কর,Toxic
হাই,Greeting
howdy,Greeting
গুডবাই,Farewell
তোকে দেখলে মাথা খারাপ হয়,Toxic
কি করছো?,Chitchat
damn you,Toxic
anything new?,Chitchat
приветствую,Greeting
আবার দেখা হবে,Farewell
what's up?,Chitchat
shut up,Toxic
ধুর মিয়া,Toxic
hi there,Greeting
shut up,Toxic
take care,Farewell
সুপ্রভাত,Greeting
বিদায়,Farewell
до свидания,Farewell
shut up,Toxic
আসসালামু আলাইকুম,Greeting
привет,Greeting
আজকের দিন কেমন গেল?,Chitchat
আলবিদা,Farewell
заткнись,Toxic
пока,Farewell
did you sleep well?,Chitchat
пока,Farewell
you suck,Toxic
তোকে সহ্য করা যায় না,Toxic
howdy,Greeting
did you sleep well?,Chitchat
বিদায়,Farewell
увидимся,Farewell
goodbye,Farewell
good morning,Greeting
howdy,Greeting
take care,Farewell
пока,Farewell
তোকে দেখলে মাথা খারাপ হয়,Toxic
get lost,Toxic
здорово,Greeting
привет,Greeting
howdy,Greeting
যাই আমি,Farewell
что нового?,Chitchat
চুপ কর,Toxic
тупица,Toxic
সুপ্রভাত,Greeting
কি করছো?,Chitchat
доброе утро,Greeting
how are you?,Chitchat
how's it going?,Chitchat
доброе утро,Greeting
তুই একটা গাধা,Toxic
ভালো থেকো,Farewell
что нового?,Chitchat
idiot!,Toxic
всего хорошего,Farewell
что нового?,Chitchat
ধুর মিয়া,Toxic
есть новости?,Chitchat
anything new?,Chitchat
здравствуйте,Greeting
увидимся,Farewell
отвали,Toxic
пока,Farewell
чёрт тебя побери,Toxic
чёрт тебя побери,Toxic
есть новости?,Chitchat
береги себя,Farewell
নতুন কি খবর?,Chitchat
береги себя,Farewell
доброе утро,Greeting
আজকের দিন কেমন গেল?,Chitchat
goodbye,Farewell
увидимся,Farewell
তোকে সহ্য করা যায় না,Toxic
увидимся,Farewell
তোকে দেখলে মাথা খারাপ হয়,Toxic
иди к чёрту,Toxic
greetings,Greeting
привет,Greeting
береги себя,Farewell
idiot!,Toxic
привет,Greeting
есть новости?,Chitchat
есть новости?,Chitchat
আলবিদা,Farewell
здорово,Greeting
সব ভালো তো?,Chitchat
всего хорошего,Farewell
তোকে দেখলে মাথা খারাপ হয়,Toxic
anything new?,Chitchat
হ্যালো,Greeting
আলবিদা,Farewell
ধুর মিয়া,Toxic
anything new?,Chitchat
береги себя,Farewell
how are you?,Chitchat
farewell,Farewell
всего хорошего,Farewell
সুপ্রভাত,Greeting
как жизнь?,Chitchat
get lost,Toxic
чёрт тебя побери,Toxic
ভালো থেকো,Farewell
здорово,Greeting
তোরে চুদে ফালামু,Toxic
ধুর মিয়া,Toxic
সব ভালো তো?,Chitchat
shut up,Toxic
what's up?,Chitchat
later!,Farewell
আলবিদা,Farewell
good morning,Greeting
সুপ্রভাত,Greeting
আবার দেখা হবে,Farewell
take care,Farewell
কি করছো?,Chitchat
good morning,Greeting
увидимся,Farewell
you suck,Toxic
как жизнь?,Chitchat
বিদায়,Farewell
how are you?,Chitchat
shut up,Toxic
как дела?,Chitchat
отвали,Toxic
до свидания,Farewell
হ্যালো,Greeting
есть новости?,Chitchat
есть новости?,Chitchat
what's up?,Chitchat
как дела?,Chitchat
take care,Farewell
damn you,Toxic
আলবিদা,Farewell
আলবিদা,Farewell
до свидания,Farewell
get lost,Toxic
shut up,Toxic
есть новости?,Chitchat
hello!,Greeting
выспался?,Chitchat
greetings,Greeting
নতুন কি খবর?,Chitchat
goodbye,Farewell
যাই আমি,Farewell
নতুন কি খবর?,Chitchat
береги себя,Farewell
নমস্কার,Greeting
пока,Farewell
ধুর মিয়া,Toxic
что нового?,Chitchat
hey!,Greeting
how's it going?,Chitchat
get lost,Toxic
чем занимаешься?,Chitchat
কি করছো?,Chitchat
goodbye,Farewell
как жизнь?,Chitchat
выспался?,Chitchat
আবার দেখা হবে,Farewell
пока,Farewell
farewell,Farewell
সব ভালো তো?,Chitchat
idiot!,Toxic
later!,Farewell
নতুন কি খবর?,Chitchat
чем занимаешься?,Chitchat
доброе утро,Greeting
আবার দেখা হবে,Farewell
